"run","disturbance","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
61,0.6,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291475836,2.0,1.0,0.03,0.05,0.05,100.0
68,0.67,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291463605,2.0,1.0,0.03,0.05,0.05,100.0
75,0.74,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291450616,2.0,1.0,0.03,0.05,0.05,100.0
82,0.81,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291438243,2.0,1.0,0.03,0.05,0.05,100.0
89,0.88,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291424997,2.0,1.0,0.03,0.05,0.05,100.0
96,0.95,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291411716,2.0,1.0,0.03,0.05,0.05,100.0
4,0.03,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291579260,2.0,1.0,0.03,0.05,0.05,100.0
11,0.1,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291564330,2.0,1.0,0.03,0.05,0.05,100.0
18,0.17,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291551149,2.0,1.0,0.03,0.05,0.05,100.0
25,0.24,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291538121,2.0,1.0,0.03,0.05,0.05,100.0
32,0.31,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291525520,2.0,1.0,0.03,0.05,0.05,100.0
39,0.38,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291513032,2.0,1.0,0.03,0.05,0.05,100.0
46,0.45,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291500574,2.0,1.0,0.03,0.05,0.05,100.0
53,0.52,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291488043,2.0,1.0,0.03,0.05,0.05,100.0
60,0.59,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291475030,2.0,1.0,0.03,0.05,0.05,100.0
67,0.66,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291462183,2.0,1.0,0.03,0.05,0.05,100.0
74,0.73,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291448839,2.0,1.0,0.03,0.05,0.05,100.0
81,0.8,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291435763,2.0,1.0,0.03,0.05,0.05,100.0
88,0.87,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291422522,2.0,1.0,0.03,0.05,0.05,100.0
95,0.94,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291409861,2.0,1.0,0.03,0.05,0.05,100.0
3,0.02,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291578720,2.0,1.0,0.03,0.05,0.05,100.0
10,0.09,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291563316,2.0,1.0,0.03,0.05,0.05,100.0
17,0.16,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291550721,2.0,1.0,0.03,0.05,0.05,100.0
24,0.23,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291538544,2.0,1.0,0.03,0.05,0.05,100.0
31,0.3,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291526499,2.0,1.0,0.03,0.05,0.05,100.0
38,0.37,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291514419,2.0,1.0,0.03,0.05,0.05,100.0
