"run","disturbance","costPromotiveDecRate","uplandAmount","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
146,0.0,1.0,145,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296333236,2.0,1.0,0.03,0.05,0.05,100.0
153,0.0,1.0,152,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296320846,2.0,1.0,0.03,0.05,0.05,100.0
160,0.0,1.0,159,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296308548,2.0,1.0,0.03,0.05,0.05,100.0
167,0.0,1.0,166,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296296957,2.0,1.0,0.03,0.05,0.05,100.0
174,0.0,1.0,173,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296285952,2.0,1.0,0.03,0.05,0.05,100.0
181,0.0,1.0,180,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296275734,2.0,1.0,0.03,0.05,0.05,100.0
188,0.0,1.0,187,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296265399,2.0,1.0,0.03,0.05,0.05,100.0
195,0.0,1.0,194,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296254997,2.0,1.0,0.03,0.05,0.05,100.0
202,0.0,1.0,201,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296245148,2.0,1.0,0.03,0.05,0.05,100.0
209,0.0,1.0,208,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296235570,2.0,1.0,0.03,0.05,0.05,100.0
216,0.0,1.0,215,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296226273,2.0,1.0,0.03,0.05,0.05,100.0
223,0.0,1.0,222,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296218274,2.0,1.0,0.03,0.05,0.05,100.0
230,0.0,1.0,229,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296210178,2.0,1.0,0.03,0.05,0.05,100.0
237,0.0,1.0,236,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296201955,2.0,1.0,0.03,0.05,0.05,100.0
244,0.0,1.0,243,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296193984,2.0,1.0,0.03,0.05,0.05,100.0
251,0.0,1.0,250,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296186997,2.0,1.0,0.03,0.05,0.05,100.0
258,0.0,1.0,257,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296179100,2.0,1.0,0.03,0.05,0.05,100.0
265,0.0,1.0,264,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296171605,2.0,1.0,0.03,0.05,0.05,100.0
272,0.0,1.0,271,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296163527,2.0,1.0,0.03,0.05,0.05,100.0
279,0.0,1.0,278,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296156671,2.0,1.0,0.03,0.05,0.05,100.0
286,0.0,1.0,285,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296148049,2.0,1.0,0.03,0.05,0.05,100.0
5,0.0,1.0,4,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296566893,2.0,1.0,0.03,0.05,0.05,100.0
12,0.0,1.0,11,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296560033,2.0,1.0,0.03,0.05,0.05,100.0
19,0.0,1.0,18,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296555075,2.0,1.0,0.03,0.05,0.05,100.0
26,0.0,1.0,25,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296549656,2.0,1.0,0.03,0.05,0.05,100.0
33,0.0,1.0,32,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296542266,2.0,1.0,0.03,0.05,0.05,100.0
40,0.0,1.0,39,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296532829,2.0,1.0,0.03,0.05,0.05,100.0
47,0.0,1.0,46,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296522274,2.0,1.0,0.03,0.05,0.05,100.0
54,0.0,1.0,53,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296510512,2.0,1.0,0.03,0.05,0.05,100.0
61,0.0,1.0,60,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296497000,2.0,1.0,0.03,0.05,0.05,100.0
