"","run","pop1","pop2","dif","canalDeath","canalDecay","sust","drought"
"387",387,0,0,0,1,8,0.1,2
"388",388,0,0,0,1,8,0.1,3
"389",389,0,0,0,1,8,0.1,4
"390",390,0,0,0,1,8,0.1,5
"391",391,0,0,0,1,8,0.1,6
"392",392,0,0,0,1,8,0.1,7
"393",393,148,34,114,1,8,0.25,0
"394",394,186,51,135,1,8,0.25,1
"395",395,110,11,99,1,8,0.25,2
"396",396,134,37,97,1,8,0.25,3
"397",397,111,29,82,1,8,0.25,4
"398",398,89,40,49,1,8,0.25,5
"399",399,110,45,65,1,8,0.25,6
"400",400,155,17,138,1,8,0.25,7
"401",401,143,45,98,1,8,0.4,0
"402",402,132,50,82,1,8,0.4,1
"403",403,143,17,126,1,8,0.4,2
"404",404,180,27,153,1,8,0.4,3
"405",405,157,30,127,1,8,0.4,4
"406",406,148,62,86,1,8,0.4,5
"407",407,154,53,101,1,8,0.4,6
"408",408,169,10,159,1,8,0.4,7
"409",409,172,14,158,1,8,0.5,0
"410",410,200,49,151,1,8,0.5,1
"411",411,199,12,187,1,8,0.5,2
"412",412,187,17,170,1,8,0.5,3
"413",413,315,66,249,1,8,0.5,4
"414",414,209,42,167,1,8,0.5,5
"415",415,300,46,254,1,8,0.5,6
"416",416,217,26,191,1,8,0.5,7
"417",417,218,62,156,1,8,0.6,0
"418",418,179,8,171,1,8,0.6,1
"419",419,185,87,98,1,8,0.6,2
"420",420,258,20,238,1,8,0.6,3
"421",421,264,19,245,1,8,0.6,4
"422",422,226,31,195,1,8,0.6,5
"423",423,262,18,244,1,8,0.6,6
"424",424,239,18,221,1,8,0.6,7
"425",425,246,22,224,1,8,0.7,0
"426",426,291,31,260,1,8,0.7,1
"427",427,309,95,214,1,8,0.7,2
"428",428,189,52,137,1,8,0.7,3
"429",429,272,78,194,1,8,0.7,4
"430",430,222,51,171,1,8,0.7,5
"431",431,249,69,180,1,8,0.7,6
"432",432,240,53,187,1,8,0.7,7
"433",433,202,18,184,1,8,0.8,0
"434",434,341,92,249,1,8,0.8,1
"435",435,245,76,169,1,8,0.8,2
"436",436,310,53,257,1,8,0.8,3
"437",437,270,27,243,1,8,0.8,4
"438",438,239,20,219,1,8,0.8,5
"439",439,294,44,250,1,8,0.8,6
"440",440,232,64,168,1,8,0.8,7
"441",441,275,52,223,1,8,1,0
"442",442,423,61,362,1,8,1,1
"443",443,277,89,188,1,8,1,2
"444",444,381,28,353,1,8,1,3
"445",445,335,8,327,1,8,1,4
"446",446,275,27,248,1,8,1,5
"447",447,432,53,379,1,8,1,6
"448",448,312,46,266,1,8,1,7
"449",449,0,0,0,1,16,0.1,0
"450",450,0,0,0,1,16,0.1,1
"451",451,0,0,0,1,16,0.1,2
"452",452,0,0,0,1,16,0.1,3
"453",453,0,0,0,1,16,0.1,4
"454",454,0,0,0,1,16,0.1,5
"455",455,0,0,0,1,16,0.1,6
"456",456,0,0,0,1,16,0.1,7
"457",457,119,46,73,1,16,0.25,0
"458",458,123,45,78,1,16,0.25,1
"459",459,145,23,122,1,16,0.25,2
