"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityReck","fecundityRegen","trafficShortCoefficient","migrationDistanceThreshold"
101,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693012763,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.5,0.05,100.0
2,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692898722,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.005,0.05,100.0
9,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692905338,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.04,0.05,100.0
16,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692911389,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.075,0.05,100.0
23,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692917279,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.11,0.05,100.0
30,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692923149,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.145,0.05,100.0
37,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692930042,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.18,0.05,100.0
44,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692937009,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.215,0.05,100.0
51,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692944942,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.25,0.05,100.0
58,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692954730,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.285,0.05,100.0
65,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692963265,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.32,0.05,100.0
72,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692972641,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.355,0.05,100.0
79,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692981702,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.39,0.05,100.0
86,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692990564,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.425,0.05,100.0
