"","pop1","pop2","dif","run"
"392",142,22,120,149
"393",132,58,74,157
"394",250,79,171,165
"395",222,68,154,173
"396",313,87,226,181
"397",278,111,167,189
"398",0,0,0,197
"399",121,22,99,205
"400",189,40,149,213
"401",218,65,153,221
"402",259,53,206,229
"403",232,48,184,237
"404",236,85,151,245
"405",329,63,266,253
"406",0,0,0,261
"407",109,66,43,269
"408",167,55,112,277
"409",163,37,126,285
"410",198,24,174,293
"411",276,80,196,301
"412",225,51,174,309
"413",199,74,125,317
"414",0,0,0,325
"415",138,44,94,333
"416",185,17,168,341
"417",220,77,143,349
"418",238,28,210,357
"419",149,58,91,365
"420",283,13,270,373
"421",310,46,264,381
"422",0,0,0,389
"423",111,29,82,397
"424",157,30,127,405
"425",315,66,249,413
"426",264,19,245,421
"427",272,78,194,429
"428",270,27,243,437
"429",335,8,327,445
"430",0,0,0,453
"431",100,50,50,461
"432",145,19,126,469
"433",200,25,175,477
"434",167,36,131,485
"435",181,56,125,493
"436",229,19,210,501
"437",248,73,175,509
"438",0,0,0,517
"439",130,36,94,525
"440",114,34,80,533
"441",170,74,96,541
"442",296,63,233,549
"443",278,59,219,557
"444",230,82,148,565
"445",269,115,154,573
"446",0,0,0,581
"447",122,33,89,589
"448",153,46,107,597
"449",177,51,126,605
"450",185,107,78,613
"451",230,68,162,621
"452",258,98,160,629
"453",292,99,193,637
"454",0,0,0,645
"455",169,44,125,653
"456",199,32,167,661
"457",220,58,162,669
"458",211,64,147,677
"459",245,64,181,685
"460",293,74,219,693
"461",307,95,212,701
"462",0,0,0,709
"463",103,46,57,717
"464",199,37,162,725
"465",175,67,108,733
"466",169,11,158,741
"467",233,61,172,749
"468",0,0,0,6
"469",157,31,126,14
"470",137,41,96,22
"471",190,65,125,30
"472",153,81,72,38
"473",256,63,193,46
"474",248,96,152,54
"475",405,122,283,62
"476",0,0,0,70
"477",91,43,48,78
"478",189,58,131,86
"479",150,62,88,94
"480",240,21,219,102
"481",223,44,179,110
"482",239,58,181,118
"483",285,139,146,126
"484",0,0,0,134
"485",144,66,78,142
"486",175,47,128,150
"487",229,16,213,158
"488",331,38,293,166
"489",210,74,136,174
"490",311,67,244,182
"491",306,107,199,190
"492",0,0,0,198
"493",117,42,75,206
"494",158,34,124,214
"495",251,62,189,222
"496",205,103,102,230
"497",203,63,140,238
"498",345,81,264,246
"499",347,97,250,254
"500",0,0,0,262
"501",117,43,74,270
"502",198,28,170,278
"503",189,35,154,286
"504",262,27,235,294
"505",198,59,139,302
"506",426,20,406,310
"507",345,75,270,318
"508",0,0,0,326
"509",119,58,61,334
"510",123,49,74,342
"511",175,77,98,350
"512",219,14,205,358
"513",280,33,247,366
"514",257,13,244,374
"515",297,11,286,382
"516",0,0,0,390
"517",89,40,49,398
"518",148,62,86,406
"519",209,42,167,414
"520",226,31,195,422
"521",222,51,171,430
"522",239,20,219,438
"523",275,27,248,446
"524",0,0,0,454
"525",134,55,79,462
"526",186,37,149,470
"527",196,15,181,478
"528",277,17,260,486
"529",262,29,233,494
"530",349,13,336,502
"531",368,11,357,510
"532",0,0,0,518
"533",104,28,76,526
"534",197,53,144,534
"535",222,56,166,542
"536",232,57,175,550
"537",138,76,62,558
"538",298,104,194,566
"539",370,115,255,574
"540",0,0,0,582
"541",110,49,61,590
"542",159,41,118,598
"543",140,61,79,606
"544",238,46,192,614
"545",256,36,220,622
