"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
497,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.2,0.05,2.0,-154617055,0.2,0.8,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
504,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.2,0.05,2.0,-154600811,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
511,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.4,0.05,2.0,-154585313,0.2,0.2,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
518,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.4,0.05,2.0,-154580202,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
525,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.4,0.05,2.0,-154567704,0.2,0.6,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
532,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.4,0.05,2.0,-154551914,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
539,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.4,0.05,2.0,-154536030,0.2,1.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
546,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.6,0.05,2.0,-154520317,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
553,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.6,0.05,2.0,-154505562,0.2,0.4,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
560,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.6,0.05,2.0,-154500852,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
567,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.6,0.05,2.0,-154486380,0.2,0.8,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
574,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.6,0.05,2.0,-154468827,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
