"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
497,1,150,10000.0,2.0,-578779667,0.0,6.0,1.0,16.0,0.8,0.0,0.0,50000.0,500.0,8.0
505,1,150,10000.0,2.0,-578343129,0.0,6.0,1.0,16.0,1.0,0.0,0.0,50000.0,500.0,8.0
513,1,150,10000.0,2.0,-577892886,0.0,6.0,2.0,0.0,0.1,0.0,0.0,50000.0,500.0,8.0
521,1,150,10000.0,2.0,-577457249,0.0,6.0,2.0,0.0,0.25,0.0,0.0,50000.0,500.0,8.0
529,1,150,10000.0,2.0,-577019651,0.0,6.0,2.0,0.0,0.4,0.0,0.0,50000.0,500.0,8.0
537,1,150,10000.0,2.0,-576587229,0.0,6.0,2.0,0.0,0.5,0.0,0.0,50000.0,500.0,8.0
545,1,150,10000.0,2.0,-576147949,0.0,6.0,2.0,0.0,0.6,0.0,0.0,50000.0,500.0,8.0
553,1,150,10000.0,2.0,-575707367,0.0,6.0,2.0,0.0,0.7,0.0,0.0,50000.0,500.0,8.0
561,1,150,10000.0,2.0,-575268456,0.0,6.0,2.0,0.0,0.8,0.0,0.0,50000.0,500.0,8.0
569,1,150,10000.0,2.0,-574830005,0.0,6.0,2.0,0.0,1.0,0.0,0.0,50000.0,500.0,8.0
577,1,150,10000.0,2.0,-574392802,0.0,6.0,2.0,0.25,0.1,0.0,0.0,50000.0,500.0,8.0
585,1,150,10000.0,2.0,-573961547,0.0,6.0,2.0,0.25,0.25,0.0,0.0,50000.0,500.0,8.0
593,1,150,10000.0,2.0,-573524641,0.0,6.0,2.0,0.25,0.4,0.0,0.0,50000.0,500.0,8.0
601,1,150,10000.0,2.0,-573087358,0.0,6.0,2.0,0.25,0.5,0.0,0.0,50000.0,500.0,8.0
609,1,150,10000.0,2.0,-572648419,0.0,6.0,2.0,0.25,0.6,0.0,0.0,50000.0,500.0,8.0
617,1,150,10000.0,2.0,-572212273,0.0,6.0,2.0,0.25,0.7,0.0,0.0,50000.0,500.0,8.0
625,1,150,10000.0,2.0,-571779486,0.0,6.0,2.0,0.25,0.8,0.0,0.0,50000.0,500.0,8.0
633,1,150,10000.0,2.0,-571335253,0.0,6.0,2.0,0.25,1.0,0.0,0.0,50000.0,500.0,8.0
641,1,150,10000.0,2.0,-570887401,0.0,6.0,2.0,0.5,0.1,0.0,0.0,50000.0,500.0,8.0
649,1,150,10000.0,2.0,-570450223,0.0,6.0,2.0,0.5,0.25,0.0,0.0,50000.0,500.0,8.0
657,1,150,10000.0,2.0,-570017383,0.0,6.0,2.0,0.5,0.4,0.0,0.0,50000.0,500.0,8.0
665,1,150,10000.0,2.0,-569580787,0.0,6.0,2.0,0.5,0.5,0.0,0.0,50000.0,500.0,8.0
673,1,150,10000.0,2.0,-569142893,0.0,6.0,2.0,0.5,0.6,0.0,0.0,50000.0,500.0,8.0
681,1,150,10000.0,2.0,-568702469,0.0,6.0,2.0,0.5,0.7,0.0,0.0,50000.0,500.0,8.0
689,1,150,10000.0,2.0,-568260124,0.0,6.0,2.0,0.5,0.8,0.0,0.0,50000.0,500.0,8.0
697,1,150,10000.0,2.0,-567824193,0.0,6.0,2.0,0.5,1.0,0.0,0.0,50000.0,500.0,8.0
705,1,150,10000.0,2.0,-567387316,0.0,6.0,2.0,1.0,0.1,0.0,0.0,50000.0,500.0,8.0
713,1,150,10000.0,2.0,-566961568,0.0,6.0,2.0,1.0,0.25,0.0,0.0,50000.0,500.0,8.0
721,1,150,10000.0,2.0,-566520827,0.0,6.0,2.0,1.0,0.4,0.0,0.0,50000.0,500.0,8.0
729,1,150,10000.0,2.0,-566087110,0.0,6.0,2.0,1.0,0.5,0.0,0.0,50000.0,500.0,8.0
737,1,150,10000.0,2.0,-565653759,0.0,6.0,2.0,1.0,0.6,0.0,0.0,50000.0,500.0,8.0
