"run","foodBloatsWeight","foodMin","weightRegen","foodGrowth","foodUnsustainability","weightMaxFactor","weightResil","infert","weightBloatRate","push","foodRegen","weightImproveRate","foodDecay","randomSeed","weightMinFactor","droughtMod","foodMax","weightDrought","foodResil","fort","foodDrought","deathFraction"
270,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.0,267226178,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
276,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.05,267228436,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
282,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.05,267230537,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
288,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.05,267233010,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
294,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.05,267235864,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
300,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.1,267238688,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
306,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.1,267241491,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
312,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.1,267244082,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
318,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.1,267246961,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
324,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.0,0.005,0.1,267249342,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
330,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.0,267251789,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
336,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.0,267254530,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
342,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.0,267257656,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
348,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.0,267259935,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
354,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.05,267262155,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
